--- Keylogger Started ---
2026-05-05 17:42:25 --> "o"
2026-05-05 17:42:26 --> "n"
2026-05-05 17:42:26 --> " "
2026-05-05 17:42:27 --> "h"
2026-05-05 17:42:33 --> "[BACKSPACE]"
2026-05-05 17:42:33 --> "[BACKSPACE]"
2026-05-05 17:42:33 --> "[BACKSPACE]"
2026-05-05 17:42:33 --> "[BACKSPACE]"
2026-05-05 17:42:33 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:34 --> "[BACKSPACE]"
2026-05-05 17:42:35 --> "[BACKSPACE]"
2026-05-05 17:42:35 --> "[ENTER]"
2026-05-05 17:43:35 --> "c"
2026-05-05 17:43:37 --> "o"
2026-05-05 17:43:37 --> "b"
2026-05-05 17:43:38 --> "n"
2026-05-05 17:43:38 --> "[BACKSPACE]"
2026-05-05 17:43:39 --> "[BACKSPACE]"
2026-05-05 17:43:39 --> "n"
2026-05-05 17:43:40 --> "c"
2026-05-05 17:43:40 --> "e"
2026-05-05 17:43:41 --> "o"
2026-05-05 17:43:41 --> "[BACKSPACE]"
2026-05-05 17:43:42 --> "p"
2026-05-05 17:47:44 --> "c"
2026-05-05 17:47:45 --> "h"
2026-05-05 17:47:45 --> "a"
2026-05-05 17:48:07 --> "i"
2026-05-05 17:48:07 --> " "
2026-05-05 17:48:07 --> "a"
2026-05-05 17:48:52 --> "s"
2026-05-05 17:48:52 --> "e"
2026-05-05 17:48:54 --> "s"
2026-05-05 17:48:54 --> "s"
2026-05-05 17:48:55 --> "u"
2026-05-05 17:48:55 --> "i"
2026-05-05 17:48:56 --> "[BACKSPACE]"
2026-05-05 17:48:56 --> "[BACKSPACE]"
2026-05-05 17:48:57 --> "i"
2026-05-05 17:48:57 --> "o"
2026-05-05 17:48:58 --> "n"
2026-05-05 17:48:58 --> " "
2026-05-05 17:48:59 --> "h"
2026-05-05 17:48:59 --> "i"
2026-05-05 17:49:00 --> "k"
2026-05-05 17:49:01 --> "i"
2026-05-05 17:49:01 --> "[BACKSPACE]"
2026-05-05 17:49:02 --> "[BACKSPACE]"
2026-05-05 17:49:03 --> "j"
2026-05-05 17:49:03 --> "i"
2026-05-05 17:49:03 --> "k"
2026-05-05 17:49:04 --> "i"
2026-05-05 17:49:05 --> "n"
2026-05-05 17:49:05 --> "g"
2026-05-05 17:49:05 --> " "
2026-05-05 17:49:07 --> "t"
2026-05-05 17:49:08 --> "[BACKSPACE]"
2026-05-05 17:49:09 --> "m"
2026-05-05 17:49:10 --> "y"
2026-05-05 17:49:10 --> " "
2026-05-05 17:49:11 --> "p"
2026-05-05 17:49:11 --> "r"
2026-05-05 17:49:11 --> "e"
2026-05-05 17:49:11 --> "s"
2026-05-05 17:49:12 --> "e"
2026-05-05 17:49:12 --> "n"
2026-05-05 17:49:14 --> "t"
2026-05-05 17:49:14 --> "a"
2026-05-05 17:49:15 --> "i"
2026-05-05 17:49:15 --> "o"
2026-05-05 17:49:16 --> "n"
2026-05-05 17:49:16 --> " "
2026-05-05 17:49:19 --> "t"
2026-05-05 17:49:19 --> "o"
2026-05-05 17:49:20 --> "p"
2026-05-05 17:49:21 --> "i"
2026-05-05 17:49:21 --> "c"
2026-05-05 17:49:21 --> " "
2026-05-05 17:49:22 --> "t"
2026-05-05 17:49:22 --> "h"
2026-05-05 17:49:22 --> "r"
2026-05-05 17:49:23 --> "o"
2026-05-05 17:49:23 --> "u"
2026-05-05 17:49:24 --> "g"
2026-05-05 17:49:24 --> "h"
2026-05-05 17:49:24 --> " "
2026-05-05 17:49:25 --> "p"
2026-05-05 17:49:25 --> "r"
2026-05-05 17:49:25 --> "o"
2026-05-05 17:49:26 --> " "
2026-05-05 17:49:26 --> "p"
2026-05-05 17:49:26 --> "\"
2026-05-05 17:49:26 --> "\"
2026-05-05 17:49:27 --> "[BACKSPACE]"
2026-05-05 17:49:27 --> "[BACKSPACE]"
2026-05-05 17:49:27 --> "[BACKSPACE]"
2026-05-05 17:49:27 --> "[BACKSPACE]"
2026-05-05 17:49:28 --> "p"
2026-05-05 17:49:29 --> "e"
2026-05-05 17:49:29 --> "r"
2026-05-05 17:49:29 --> "[ENTER]"
2026-05-05 17:51:15 --> "r"
2026-05-05 17:51:16 --> "[BACKSPACE]"
2026-05-05 17:51:16 --> "t"
2026-05-05 17:51:16 --> "h"
2026-05-05 17:51:16 --> "r"
2026-05-05 17:51:17 --> "o"
2026-05-05 17:51:18 --> "u"
2026-05-05 17:51:19 --> "g"
2026-05-05 17:51:19 --> "h"
2026-05-05 17:51:20 --> " "
2026-05-05 17:51:20 --> "p"
2026-05-05 17:51:20 --> "r"
2026-05-05 17:51:21 --> "o"
2026-05-05 17:51:21 --> "p"
2026-05-05 17:51:21 --> "e"
2026-05-05 17:51:22 --> "r"
2026-05-05 17:51:22 --> " "
2026-05-05 17:51:22 --> "[ENTER]"
2026-05-05 18:29:16 --> ""
2026-05-05 18:29:20 --> ""
2026-05-05 18:29:23 --> "[ENTER]"
2026-05-05 18:29:23 --> "[ENTER]"
2026-05-05 18:29:26 --> "r"
2026-05-05 18:29:26 --> "e"
2026-05-05 18:29:27 --> "n"
2026-05-05 18:29:27 --> "o"
2026-05-05 18:29:27 --> "[BACKSPACE]"
2026-05-05 18:29:28 --> "[BACKSPACE]"
2026-05-05 18:29:30 --> "m"
2026-05-05 18:29:31 --> "i"
2026-05-05 18:29:31 --> "[BACKSPACE]"
2026-05-05 18:29:32 --> "o"
2026-05-05 18:29:33 --> "v"
2026-05-05 18:29:33 --> "e"
2026-05-05 18:29:33 --> " "
2026-05-05 18:29:34 --> "c"
2026-05-05 18:29:34 --> "h"
2026-05-05 18:29:34 --> "a"
2026-05-05 18:29:35 --> "t"
2026-05-05 18:29:35 --> "s"
2026-05-05 18:29:36 --> "[BACKSPACE]"
2026-05-05 18:29:37 --> "g"
2026-05-05 18:29:37 --> "p"
2026-05-05 18:29:37 --> "t"
2026-05-05 18:29:38 --> " "
2026-05-05 18:29:39 --> "[ENTER]"
2026-05-05 18:29:49 --> "[ENTER]"
2026-05-05 18:29:50 --> "[ENTER]"
2026-05-05 18:31:33 --> ""
2026-05-05 18:31:38 --> "g"
2026-05-05 18:31:38 --> "m"
2026-05-05 18:31:38 --> "a"
2026-05-05 18:31:39 --> "[BACKSPACE]"
2026-05-05 18:31:39 --> "[BACKSPACE]"
2026-05-05 18:31:39 --> "a"
2026-05-05 18:31:40 --> "m"
2026-05-05 18:31:40 --> "m"
2026-05-05 18:31:40 --> "a"
2026-05-05 18:31:40 --> " "
2026-05-05 18:32:27 --> ""
2026-05-05 18:32:31 --> "[ENTER]"
2026-05-05 18:32:32 --> "[ENTER]"
2026-05-05 18:35:27 --> ""
2026-05-05 18:35:28 --> "[ENTER]"
2026-05-05 18:44:01 --> "
"
2026-05-05 18:45:31 --> ""
2026-05-05 18:46:08 --> "c"
2026-05-05 18:46:09 --> "h"
2026-05-05 18:46:10 --> "[ENTER]"
2026-05-05 18:46:17 --> "g"
2026-05-05 18:46:17 --> "i"
2026-05-05 18:46:18 --> "t"
2026-05-05 18:46:21 --> "[ENTER]"
2026-05-05 18:46:26 --> " "
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:57 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:58 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:46:59 --> "[BACKSPACE]"
2026-05-05 18:47:03 --> "b"
2026-05-05 18:47:03 --> "a"
2026-05-05 18:47:03 --> "s"
2026-05-05 18:47:04 --> "i"
2026-05-05 18:47:04 --> "y"
2026-05-05 18:47:05 --> "[BACKSPACE]"
2026-05-05 18:47:05 --> "t"
2026-05-05 18:47:06 --> "a"
2026-05-05 18:47:11 --> "[BACKSPACE]"
2026-05-05 18:47:13 --> "t"
2026-05-05 18:47:14 --> "a"
2026-05-05 18:47:17 --> "l"
2026-05-05 18:47:17 --> "i"
2026-05-05 18:50:00 --> "i"
2026-05-05 18:50:05 --> "[BACKSPACE]"
2026-05-05 18:50:08 --> "c"
2026-05-05 18:50:09 --> "y"
2026-05-05 18:50:09 --> "b"
2026-05-05 18:50:13 --> "e"
2026-05-05 18:50:13 --> "s"
2026-05-05 18:50:15 --> "[BACKSPACE]"
2026-05-05 18:50:16 --> "e"
2026-05-05 18:50:16 --> "[BACKSPACE]"
2026-05-05 18:50:16 --> "s"
2026-05-05 18:51:46 --> "y"
2026-05-05 18:51:47 --> "o"
2026-05-05 18:51:47 --> "[ENTER]"
2026-05-05 18:52:01 --> "h"
2026-05-05 18:52:02 --> "p"
2026-05-05 18:52:02 --> "e"
2026-05-05 18:52:03 --> "\"
2026-05-05 18:52:03 --> "\"
2026-05-05 18:52:03 --> "[BACKSPACE]"
2026-05-05 18:52:03 --> "[BACKSPACE]"
2026-05-05 18:52:03 --> "[BACKSPACE]"
2026-05-05 18:52:04 --> "[BACKSPACE]"
2026-05-05 18:52:04 --> "o"
2026-05-05 18:52:05 --> "e"
2026-05-05 18:52:05 --> " "
2026-05-05 18:52:05 --> "[BACKSPACE]"
2026-05-05 18:52:06 --> "[BACKSPACE]"
2026-05-05 18:52:06 --> "r"
2026-05-05 18:52:06 --> " "
2026-05-05 18:52:07 --> "[BACKSPACE]"
2026-05-05 18:52:07 --> "[BACKSPACE]"
2026-05-05 18:52:07 --> "w"
2026-05-05 18:52:08 --> " "
2026-05-05 18:52:08 --> "t"
2026-05-05 18:52:08 --> "o"
2026-05-05 18:52:08 --> " "
2026-05-05 18:52:09 --> "p"
2026-05-05 18:52:09 --> "o"
2026-05-05 18:52:10 --> "[BACKSPACE]"
2026-05-05 18:52:11 --> "i"
2026-05-05 18:52:11 --> "s"
2026-05-05 18:52:11 --> "[BACKSPACE]"
2026-05-05 18:52:12 --> "[BACKSPACE]"
2026-05-05 18:52:12 --> "u"
2026-05-05 18:52:14 --> "d"
2026-05-05 18:52:14 --> "h"
2026-05-05 18:52:14 --> "e"
2026-05-05 18:52:15 --> "[BACKSPACE]"
2026-05-05 18:52:15 --> "[BACKSPACE]"
2026-05-05 18:52:15 --> "[BACKSPACE]"
2026-05-05 18:52:15 --> "s"
2026-05-05 18:52:16 --> "h"
2026-05-05 18:52:16 --> "e"
2026-05-05 18:52:16 --> "d"
2026-05-05 18:52:17 --> " "
2026-05-05 18:52:18 --> "u"
2026-05-05 18:52:18 --> "p"
2026-05-05 18:52:18 --> " "
2026-05-05 18:52:21 --> "v"
2026-05-05 18:52:21 --> "a"
2026-05-05 18:52:21 --> "[BACKSPACE]"
2026-05-05 18:52:22 --> "s"
2026-05-05 18:52:22 --> " "
2026-05-05 18:52:22 --> "c"
2026-05-05 18:52:23 --> "o"
2026-05-05 18:52:23 --> "d"
2026-05-05 18:52:24 --> "e"
2026-05-05 18:52:24 --> " "
2026-05-05 18:52:25 --> "t"
2026-05-05 18:52:25 --> "o"
2026-05-05 18:53:19 --> "[BACKSPACE]"
2026-05-05 18:53:20 --> "[BACKSPACE]"
2026-05-05 18:53:20 --> "[BACKSPACE]"
2026-05-05 18:53:20 --> "[BACKSPACE]"
2026-05-05 18:53:20 --> "[BACKSPACE]"
2026-05-05 18:53:22 --> "d"
2026-05-05 18:53:23 --> "e"
2026-05-05 18:53:23 --> "s"
2026-05-05 19:04:34 --> "c"
2026-05-05 19:04:36 --> "[ENTER]"
2026-05-05 19:04:42 --> "[BACKSPACE]"
2026-05-05 19:04:43 --> "[BACKSPACE]"
2026-05-05 19:04:43 --> "[BACKSPACE]"
2026-05-05 19:04:44 --> "h"
2026-05-05 19:04:44 --> "o"
2026-05-05 19:04:44 --> "p"
2026-05-05 19:04:45 --> "e"
2026-05-05 19:04:45 --> "[BACKSPACE]"
2026-05-05 19:04:45 --> "[BACKSPACE]"
2026-05-05 19:04:45 --> "[BACKSPACE]"
2026-05-05 19:04:46 --> "w"
2026-05-05 19:04:46 --> " "
2026-05-05 19:04:46 --> "[BACKSPACE]"
2026-05-05 19:04:46 --> "[BACKSPACE]"
2026-05-05 19:04:47 --> "p"
2026-05-05 19:04:47 --> "o"
2026-05-05 19:04:48 --> "[BACKSPACE]"
2026-05-05 19:04:48 --> "[BACKSPACE]"
2026-05-05 19:04:49 --> "o"
2026-05-05 19:04:49 --> " "
2026-05-05 19:04:49 --> "e"
2026-05-05 19:04:49 --> "[BACKSPACE]"
2026-05-05 19:04:50 --> "[BACKSPACE]"
2026-05-05 19:04:50 --> "w"
2026-05-05 19:04:50 --> " "
2026-05-05 19:04:51 --> "t"
2026-05-05 19:04:51 --> "o"
2026-05-05 19:04:51 --> " "
2026-05-05 19:04:52 --> "p"
2026-05-05 19:04:53 --> "o"
2026-05-05 19:04:53 --> "[BACKSPACE]"
2026-05-05 19:04:53 --> "k"
2026-05-05 19:04:54 --> "i"
2026-05-05 19:04:54 --> "[BACKSPACE]"
2026-05-05 19:04:54 --> "[BACKSPACE]"
2026-05-05 19:04:55 --> "i"
2026-05-05 19:04:55 --> "[BACKSPACE]"
2026-05-05 19:04:56 --> "i"
2026-05-05 19:04:57 --> "[BACKSPACE]"
2026-05-05 19:05:02 --> "8"
2026-05-05 19:05:03 --> "[BACKSPACE]"
2026-05-05 19:05:09 --> "u"
2026-05-05 19:05:09 --> "s"
2026-05-05 19:05:10 --> "h"
2026-05-05 19:05:10 --> "e"
2026-05-05 19:05:11 --> "d"
2026-05-05 19:05:11 --> " "
2026-05-05 19:05:12 --> "g"
2026-05-05 19:05:13 --> "i"
2026-05-05 19:05:13 --> "t"
2026-05-05 19:05:15 --> "h"
2026-05-05 19:05:15 --> "u"
2026-05-05 19:05:16 --> "t"
2026-05-05 19:05:16 --> " "
2026-05-05 19:05:19 --> "c"
2026-05-05 19:05:19 --> "o"
2026-05-05 19:05:20 --> "d"
2026-05-05 19:05:20 --> "e"
2026-05-05 19:05:20 --> "[ENTER]"
2026-05-05 19:07:18 --> "k"
2026-05-05 19:07:18 --> "r"
2026-05-05 19:07:18 --> "[BACKSPACE]"
2026-05-05 19:07:19 --> "e"
2026-05-05 19:07:20 --> "y"
2026-05-05 19:07:23 --> "l"
2026-05-05 19:07:23 --> "o"
2026-05-05 19:07:27 --> "g"
2026-05-05 19:07:27 --> "e"
2026-05-05 19:07:27 --> "r"
2026-05-05 19:07:38 --> "c"
2026-05-05 19:07:38 --> "[BACKSPACE]"
2026-05-05 19:07:38 --> "[BACKSPACE]"
2026-05-05 19:07:40 --> "k"
2026-05-05 19:07:40 --> "e"
2026-05-05 19:07:41 --> "y"
2026-05-05 19:07:41 --> "l"
2026-05-05 19:07:41 --> "o"
2026-05-05 19:07:42 --> "g"
2026-05-05 19:07:42 --> "g"
2026-05-05 19:07:42 --> "e"
2026-05-05 19:07:42 --> "r"
2026-05-05 19:07:44 --> "[ENTER]"
2026-05-05 19:07:59 --> ""
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:06 --> "[BACKSPACE]"
2026-05-05 19:08:07 --> ""
2026-05-05 19:08:12 --> "[BACKSPACE]"
2026-05-05 19:08:23 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:24 --> "[BACKSPACE]"
2026-05-05 19:08:29 --> "l"
2026-05-05 19:08:30 --> "i"
2026-05-05 19:08:31 --> "[BACKSPACE]"
2026-05-05 19:08:31 --> "o"
2026-05-05 19:08:34 --> "g"
2026-05-05 19:08:34 --> "g"
2026-05-05 19:08:34 --> "e"
2026-05-05 19:08:34 --> "r"
2026-05-05 19:08:53 --> " "
2026-05-05 19:08:54 --> "g"
2026-05-05 19:08:54 --> "i"
2026-05-05 19:08:54 --> "t"
2026-05-05 19:08:56 --> "[ENTER]"
2026-05-05 19:09:37 --> " "
2026-05-05 19:09:43 --> "[ENTER]"
2026-05-05 19:10:21 --> " "
2026-05-05 19:10:22 --> "i"
2026-05-05 19:10:22 --> "n"
2026-05-05 19:10:22 --> " "
2026-05-05 19:10:23 --> "p"
2026-05-05 19:10:23 --> "y"
2026-05-05 19:10:23 --> "t"
2026-05-05 19:10:24 --> "h"
2026-05-05 19:10:24 --> "o"
2026-05-05 19:10:24 --> "n"
2026-05-05 19:10:24 --> " "
2026-05-05 19:10:27 --> "[ENTER]"
2026-05-05 19:11:38 --> "i"
2026-05-05 19:11:38 --> " "
2026-05-05 19:11:39 --> "a"
2026-05-05 19:11:40 --> " "
2026-05-05 19:11:41 --> "[BACKSPACE]"
2026-05-05 19:11:42 --> "m"
2026-05-05 19:11:42 --> " "
2026-05-05 19:11:42 --> "c"
2026-05-05 19:11:43 --> "r"
2026-05-05 19:11:43 --> "e"
2026-05-05 19:11:43 --> "a"
2026-05-05 19:11:43 --> "t"
2026-05-05 19:11:44 --> "e"
2026-05-05 19:11:44 --> " "
2026-05-05 19:11:45 --> "k"
2026-05-05 19:11:45 --> "e"
2026-05-05 19:11:46 --> "y"
2026-05-05 19:11:46 --> "l"
2026-05-05 19:11:47 --> "o"
2026-05-05 19:11:48 --> "g"
2026-05-05 19:11:48 --> "g"
2026-05-05 19:11:48 --> "e"
2026-05-05 19:11:48 --> "r"
2026-05-05 19:11:49 --> " "
2026-05-05 19:11:50 --> "i"
2026-05-05 19:11:50 --> "n"
2026-05-05 19:11:50 --> " "
2026-05-05 19:11:50 --> "p"
2026-05-05 19:11:51 --> "y"
2026-05-05 19:11:52 --> "t"
2026-05-05 19:11:52 --> "j"
2026-05-05 19:11:52 --> "o"
2026-05-05 19:11:53 --> "[BACKSPACE]"
2026-05-05 19:11:54 --> "[BACKSPACE]"
2026-05-05 19:11:54 --> "[BACKSPACE]"
2026-05-05 19:11:54 --> "[BACKSPACE]"
2026-05-05 19:11:55 --> "y"
2026-05-05 19:11:56 --> "t"
2026-05-05 19:11:56 --> "h"
2026-05-05 19:11:56 --> "o"
2026-05-05 19:11:56 --> "n"
2026-05-05 19:11:57 --> " "
2026-05-05 19:11:57 --> "a"
2026-05-05 19:11:57 --> "n"
2026-05-05 19:11:57 --> "d"
2026-05-05 19:11:58 --> " "
2026-05-05 19:11:58 --> "o"
2026-05-05 19:11:59 --> "n"
2026-05-05 19:11:59 --> "e"
2026-05-05 19:11:59 --> " "
2026-05-05 19:12:01 --> "f"
2026-05-05 19:12:01 --> "i"
2026-05-05 19:12:01 --> "l"
2026-05-05 19:12:01 --> "e"
2026-05-05 19:12:02 --> " "
2026-05-05 19:12:03 --> "h"
2026-05-05 19:12:04 --> "a"
2026-05-05 19:12:04 --> "n"
2026-05-05 19:12:04 --> "[BACKSPACE]"
2026-05-05 19:12:05 --> "n"
2026-05-05 19:12:06 --> "d"
2026-05-05 19:12:06 --> "l"
2026-05-05 19:12:06 --> "e"
2026-05-05 19:12:06 --> " "
2026-05-05 19:12:07 --> "t"
2026-05-05 19:12:07 --> "h"
2026-05-05 19:12:07 --> "e"
2026-05-05 19:12:07 --> "m"
2026-05-05 19:12:08 --> " "
2026-05-05 19:12:08 --> "e"
2026-05-05 19:12:09 --> "c"
2026-05-05 19:12:09 --> "[BACKSPACE]"
2026-05-05 19:12:09 --> "v"
2026-05-05 19:12:10 --> "e"
2026-05-05 19:12:10 --> "r"
2026-05-05 19:12:10 --> "y"
2026-05-05 19:12:11 --> " "
2026-05-05 19:12:13 --> "l"
2026-05-05 19:12:13 --> "o"
2026-05-05 19:12:14 --> "g"
2026-05-05 19:12:14 --> " "
2026-05-05 19:12:15 --> "g"
2026-05-05 19:12:16 --> "a"
2026-05-05 19:12:16 --> "v"
2026-05-05 19:12:16 --> "e"
2026-05-05 19:12:16 --> " "
2026-05-05 19:12:17 --> "m"
2026-05-05 19:12:17 --> "e"
2026-05-05 19:12:17 --> " "
2026-05-05 19:12:18 --> "d"
2026-05-05 19:12:19 --> "i"
2026-05-05 19:12:19 --> "s"
2026-05-05 19:12:20 --> "c"
2026-05-05 19:12:20 --> "r"
2026-05-05 19:12:21 --> "e"
2026-05-05 19:12:21 --> "p"
2026-05-05 19:12:22 --> "a"
2026-05-05 19:12:22 --> "t"
2026-05-05 19:12:23 --> "i"
2026-05-05 19:12:23 --> "o"
2026-05-05 19:12:24 --> "n"
2026-05-05 19:12:24 --> " "
2026-05-05 19:12:27 --> "f"
2026-05-05 19:12:28 --> "o"
2026-05-05 19:12:28 --> "r"
2026-05-05 19:12:28 --> " "
2026-05-05 19:12:29 --> "g"
2026-05-05 19:12:29 --> "i"
2026-05-05 19:12:29 --> "t"
2026-05-05 19:12:30 --> "h"
2026-05-05 19:12:31 --> "h"
2026-05-05 19:12:31 --> "u"
2026-05-05 19:12:32 --> "b"
2026-05-05 19:12:32 --> "[ENTER]"
2026-05-05 19:12:50 --> "g"
2026-05-05 19:12:50 --> "a"
2026-05-05 19:12:50 --> "v"
2026-05-05 19:12:51 --> "e"
2026-05-05 19:12:51 --> " "
2026-05-05 19:12:52 --> "m"
2026-05-05 19:12:52 --> "e"
2026-05-05 19:12:52 --> " "
2026-05-05 19:12:53 --> "d"
2026-05-05 19:12:54 --> "e"
2026-05-05 19:12:55 --> "c"
2026-05-05 19:12:55 --> "r"
2026-05-05 19:12:56 --> "p"
2026-05-05 19:12:56 --> "t"
2026-05-05 19:12:56 --> "i"
2026-05-05 19:12:57 --> "o"
2026-05-05 19:12:57 --> "n"
2026-05-05 19:12:57 --> " "
2026-05-05 19:12:58 --> "f"
2026-05-05 19:12:58 --> "o"
2026-05-05 19:12:59 --> "r"
2026-05-05 19:12:59 --> " "
2026-05-05 19:12:59 --> "g"
2026-05-05 19:13:00 --> "i"
2026-05-05 19:13:00 --> "t"
2026-05-05 19:13:00 --> "h"
2026-05-05 19:13:01 --> "h"
2026-05-05 19:13:01 --> "u"
2026-05-05 19:13:02 --> "b"
2026-05-05 19:13:02 --> "[ENTER]"
2026-05-05 19:13:41 --> ""
2026-05-05 19:13:46 --> ""
2026-05-05 19:13:47 --> "[BACKSPACE]"
2026-05-05 19:14:05 --> ""
2026-05-05 19:14:11 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:12 --> "[BACKSPACE]"
2026-05-05 19:14:13 --> ""
2026-05-05 19:14:16 --> "[BACKSPACE]"
